kreis,zone,personen,arbeidsinzet,overlijden,medisch,huwelijk,geboorte,lat,lon,top_herkomst_nl
Kassel,Amerikaanse,41967,38404,3563,0,0,0,51.31578,9.49785,Rotterdam (5877); Amsterdam (3542); 's-Gravenhage (1702)
Berlijn,,37516,35939,1577,0,0,0,52.51739,13.39513,Amsterdam (5697); Rotterdam (2803); 's-Gravenhage (1690)
München,Amerikaanse,29240,29240,0,0,0,0,48.13711,11.57538,Rotterdam (6106); Amsterdam (2457); 's-Gravenhage (1697)
Hamburg,Engelse,20469,10968,5248,3784,0,469,53.55017,10.00132,Rotterdam (1889); Amsterdam (1259); 's-Gravenhage (1113)
Augsburg,Amerikaanse,15373,15373,0,0,0,0,48.36903,10.89795,Rotterdam (2800); Amsterdam (1429); 's-Gravenhage (888)
Offenbach,Amerikaanse,11460,11460,0,0,0,0,50.1055,8.76107,Amsterdam (2318); Rotterdam (564); 's-Gravenhage (279)
Rottweil,Franse,10576,9610,373,497,75,21,48.16782,8.62698,Rotterdam (1249); 's-Gravenhage (627); Amsterdam (294)
Grossgerau,Amerikaanse,10100,9821,279,0,0,0,49.89642,8.4554,Amsterdam (1015); Rotterdam (829); 's-Gravenhage (398)
Moers,Engelse,10061,9608,451,0,0,2,51.45128,6.62843,Nijmegen (666); Rotterdam (438); Amsterdam (282)
Osnabruck,Engelse,9992,8437,1555,0,0,0,52.27196,8.04763,Rotterdam (1066); Amsterdam (651); 's-Gravenhage (265)
Duisburg,Engelse,8864,5800,3064,0,0,0,51.435,6.75956,Rotterdam (734); Dordrecht (185); Amsterdam (159)
Tettnang,Franse,8287,8287,0,0,0,0,47.67166,9.58912,'s-Gravenhage (1165); Rotterdam (1074); Amsterdam (218)
Braunschweig,Engelse,8196,7191,1005,0,0,0,52.26466,10.52361,Amsterdam (743); Rotterdam (401); Utrecht (210)
Hannover,Engelse,7930,5539,2391,0,0,0,52.37448,9.73855,Amsterdam (665); Rotterdam (470); 's-Gravenhage (177)
Aachen,Engelse,7121,5405,873,0,424,419,50.77635,6.08386,Maastricht (124); Vaals (105); Heerlen (101)
Steinfurt,Engelse,7083,7083,0,0,0,0,52.13775,7.35814,Enschede (478); Rotterdam (118); Amsterdam (82)
Regensburg,Amerikaanse,6750,6750,0,0,0,0,49.01953,12.09749,Rotterdam (734); Amsterdam (600); Vlaardingen (384)
Lübeck,Engelse,6535,6535,0,0,0,0,53.86644,10.68474,Rotterdam (623); 's-Gravenhage (612); Amsterdam (479)
Schweinfurt,Amerikaanse,6452,6452,0,0,0,0,50.04515,10.23406,Rotterdam (1135); Dordrecht (572); Utrecht (447)
Darmstadt,Amerikaanse,6446,6446,0,0,0,0,49.87277,8.65118,'s-Gravenhage (513); Amsterdam (501); Rotterdam (324)
Kleve,Engelse,6423,6423,0,0,0,0,51.78956,6.1376,Asperen (145); Ottersum (81); Groesbeek (68)
Marburg,Amerikaanse,6354,6354,0,0,0,0,50.80901,8.77047,Rotterdam (343); Amsterdam (299); Eindhoven (184)
Kiel,Engelse,6340,5697,643,0,0,0,54.32271,10.13556,Rotterdam (161); 's-Gravenhage (108); Amsterdam (96)
Mülheim An Der Ruhr,Engelse,6057,6057,0,0,0,0,51.42729,6.88292,Rotterdam (545); Amsterdam (197); 's-Gravenhage (84)
Bremen,Amerikaanse,6050,6050,0,0,0,0,53.07582,8.80716,Rotterdam (689); Amsterdam (602); 's-Gravenhage (160)
Fallingbostel,Engelse,5717,5717,0,0,0,0,52.82174,9.66014,Groningen (282); Rotterdam (271); Amsterdam (219)
Ludwigshafen Am Rhein,Franse,5710,5710,0,0,0,0,49.47041,8.43816,Amsterdam (459); Rotterdam (155); 's-Gravenhage (79)
Düsseldorf,Engelse,5710,3741,1969,0,0,0,51.2254,6.77631,Rotterdam (155); Amsterdam (71); Maastricht (64)
Witzenhausen,Amerikaanse,5535,5535,0,0,0,0,51.33319,9.84342,Amsterdam (409); Rotterdam (391); 's-Hertogenbosch (235)
Essen,Engelse,5352,3787,1565,0,0,0,51.45822,7.01582,Amsterdam (315); Rotterdam (178); Bergen op Zoom (174)
Dortmund,Engelse,5351,2285,3066,0,0,0,51.51423,7.46528,Rotterdam (428); Amsterdam (199); Velsen (151)
Nürnberg,Amerikaanse,5147,5147,0,0,0,0,49.45387,11.0773,Rotterdam (820); Amsterdam (617); 's-Gravenhage (380)
Krefeld,Engelse,5028,5028,0,0,0,0,51.33312,6.56233,Rotterdam (113); Nijmegen (96); Amsterdam (70)
Wesermünde,Engelse,5000,5000,0,0,0,0,53.55054,8.58519,Rotterdam (620); Amsterdam (427); 's-Gravenhage (272)
Mannheim,Amerikaanse,4908,3761,1147,0,0,0,49.48929,8.46731,Rotterdam (447); 's-Gravenhage (351); Amsterdam (291)
Schönebeck,Russische,4794,4794,0,0,0,0,52.0206,11.73833,Amsterdam (518); Rotterdam (459); 's-Gravenhage (271)
Münster,Engelse,4200,4200,0,0,0,0,51.96251,7.62519,Amsterdam (173); Enschede (161); Rotterdam (135)
Baden-Baden,Franse,4173,4173,0,0,0,0,48.76107,8.23996,Amsterdam (421); 's-Gravenhage (313); Rotterdam (171)
Oldenburg En Oldenburg-Holstein,Engelse,3818,3818,0,0,0,0,53.13898,8.2146,Groningen (222); Rotterdam (213); Amsterdam (129)
Hagen I.W.,Engelse,3653,3653,0,0,0,0,53.3577,8.64564,Rotterdam (250); Amsterdam (171); Nijmegen (103)
Keulen,Engelse,3643,2746,897,0,0,0,50.93836,6.95997,Rotterdam (144); Amsterdam (121); 's-Gravenhage (53)
Bielefeld,Engelse,3586,3586,0,0,0,0,52.0191,8.53101,Rotterdam (385); Amsterdam (266); 's-Gravenhage (113)
Friedberg,Amerikaanse,3389,2907,482,0,0,0,50.32827,8.74764,Rotterdam (302); 's-Gravenhage (281); Amsterdam (185)
Hersfeld,Amerikaanse,3385,3385,0,0,0,0,50.86042,9.67677,'s-Gravenhage (255); Rotterdam (251); Amsterdam (210)
Hof An Der Saale,Amerikaanse,3296,3296,0,0,0,0,50.33068,10.23545,Rotterdam (354); 's-Gravenhage (295); Amsterdam (262)
Iserlohn,Engelse,3262,3262,0,0,0,0,51.37468,7.69997,Rotterdam (139); Amsterdam (139); Nijmegen (87)
Hamm,Engelse,3216,3216,0,0,0,0,51.68128,7.81912,Rotterdam (381); Deventer (205); Amsterdam (132)
Gelsenkirchen,Engelse,3210,3210,0,0,0,0,51.51103,7.09601,Rotterdam (126); Amsterdam (101); 's-Gravenhage (53)
Wetzlar,Amerikaanse,3129,3129,0,0,0,0,50.57056,8.53125,Rotterdam (461); 's-Gravenhage (394); Amsterdam (161)
Wiesbaden,Amerikaanse,3128,3128,0,0,0,0,50.08204,8.24166,Rotterdam (341); Amsterdam (269); 's-Gravenhage (157)
Kempen-Krefeld,Engelse,3124,752,2372,0,0,0,51.23776,6.38057,Venlo (136); Rotterdam (84); Tegelen (57)
Hassfurt,Amerikaanse,3102,3102,0,0,0,0,50.04278,10.50862,Dordrecht (410); Gorinchem (376); Rotterdam (279)
Nienburg,Engelse,3097,3097,0,0,0,0,52.64878,9.25781,Amsterdam (226); Rotterdam (209); 's-Gravenhage (109)
Herzogentum Lauenburg,Engelse,3060,3060,0,0,0,0,53.70111,10.77429,Rotterdam (197); Amsterdam (137); Apeldoorn (108)
Ennepe-Ruhr,Engelse,3000,3000,0,0,0,0,51.45169,7.33046,Rotterdam (98); Gendringen (85); Tilburg (78)
Düsseldorf-Mettmann,Engelse,2998,1622,1376,0,0,0,51.2192,6.80497,Rotterdam (151); Amsterdam (147); 's-Gravenhage (78)
Emmendingen,Franse,2995,2995,0,0,0,0,48.12066,7.85099,'s-Gravenhage (326); Rotterdam (272); Amsterdam (166)
Mainz,Franse,2966,1706,0,1260,0,0,49.99952,8.27363,Rotterdam (261); Amsterdam (144); 's-Gravenhage (72)
Celle,Engelse,2914,2914,0,0,0,0,52.62406,10.08105,Amsterdam (223); Rotterdam (219); Utrecht (75)
Neuss,Engelse,2904,2904,0,0,0,0,51.19818,6.69165,'s-Hertogenbosch (130); Amsterdam (114); Rotterdam (89)
Ravensburg,Franse,2864,2864,0,0,0,0,47.7811,9.61247,'s-Gravenhage (558); Rotterdam (453); Amsterdam (130)
Obertaunus,Amerikaanse,2837,2837,0,0,0,0,50.26687,8.56809,Amsterdam (296); Rotterdam (270); 's-Gravenhage (97)
Recklinghausen,Engelse,2824,2824,0,0,0,0,51.61438,7.19785,Rotterdam (75); Amsterdam (33); Arnhem (15)
