inv_nr,gebouw,adres,plaats,provincie,functie,materiaal,sectie,jaar_van,jaar_tot,aantal_bladen,lat,lon,precisie,na_link
8.1,"Ontvangststation van de rijksluchtvaartdienst, gebouwtje voor de Adcockinstallatie",Bosrandweg,Aalsmeer,Noord-Holland,overig,tekening,IB,1937,1937,1,52.29884,4.815719,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/8.1/file/
9.1,Kantoor voor invoerrechten,"Bocholtsestraat 61a-62a/b, Heurne",Aalten,Gelderland,douane & opslag,tekening,IB,1939,1939,2,51.922117,6.580559,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/9.1/file/
10.1,Post- en telegraafgebouw,Weststraat 44-46,Aardenburg,Zeeland,post & telegraaf,tekening,IB,1910,1969,12,51.274014,3.444985,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/10.1/file/
11.1,Grenskantoor,"Rijksweg 23, Eede",Aardenburg,Zeeland,douane & opslag,tekening,IB,1905,1935,2,51.263727,3.453546,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/11.1/file/
12.1,Post- en telegraafgebouw,Voordijk 103A,Abcoude,Utrecht,post & telegraaf,tekening,IB,1951,1951,1,52.271486,4.972951,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/12.1/file/
13.1,Marechausseekazerne,"Straatweg Leeuwarden-Groningen, Buitenpost",Achtkarspelen,Fryslân,politie,tekening,IB,1926,1936,9,53.267051,6.206137,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/13.1/file/
14.1,Kerkgebouw,Burg. Seinenstraat 42,Aduard,Groningen,kerk & religie,tekening,IB,1900,1930,58,53.256448,6.460058,adres,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/14.1/file/
15,Belastinggebouw,,Alkmaar,Noord-Holland,bestuur & financiën,tekening,IB,1930,1940,1,52.601792,4.803308,plaats,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/15/file/
16.1,Strafgevangenis Schutterswei,Prins Bernhardlaan 16,Alkmaar,Noord-Holland,gevangeniswezen,tekening,IB,1883,1962,19,52.62494,4.73317,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/16.1/file/
17.1,Rijksopvoedingsgesticht,Gasthuisstraat,Alkmaar,Noord-Holland,gevangeniswezen,tekening,IB,1914,1937,5,52.633255,4.742765,straat,https://www.nationaalarchief.nl/onderzoeken/archief/4.RGD/invnr/17.1/file/
